track_id,track_genre_top,set_split
000002,Hip-Hop,training
000003,Hip-Hop,training
000005,Hip-Hop,training
000010,Pop,training
000134,Hip-Hop,training
000136,Rock,training
000139,Folk,training
000140,Folk,training
000141,Folk,training
000148,Experimental,validation
000181,Rock,test
000182,Rock,test
000190,Folk,training
000193,Folk,training
000194,Folk,training
000197,Folk,training
000198,Folk,training
000200,Folk,training
000203,Folk,training
000204,Folk,training
000207,Folk,training
000208,Folk,training
000209,Folk,training
000210,Folk,training
000211,Folk,training
000212,Folk,training
000213,Pop,training
000237,Jazz,training
000247,Rock,training
000249,Rock,training
000255,Rock,training
000256,Rock,training
000257,Rock,training
000258,Rock,training
000341,Rock,training
000343,Rock,training
000352,Rock,training
000368,Rock,training
000369,Rock,training
000397,Electronic,training
000398,Electronic,training
000399,Electronic,training
000400,Electronic,training
000405,Electronic,training
000414,Electronic,training
000424,Experimental,training
000425,Experimental,training
000458,Rock,validation
000459,Rock,validation
000512,Rock,training
000534,Folk,training
000535,Folk,training
000536,Folk,training
000537,Folk,training
000540,Folk,training
000546,Folk,training
000550,Electronic,training
000564,Rock,test
000573,Rock,training
000574,Rock,training
000583,Hip-Hop,validation
000584,Hip-Hop,validation
000585,Hip-Hop,validation
000590,Jazz,training
000591,Jazz,training
000592,Jazz,training
000593,Jazz,training
000602,Folk,validation
000603,Folk,validation
000605,Rock,training
000608,Rock,training
000615,Experimental,training
000619,Folk,training
000620,Folk,training
000621,Folk,training
000625,Folk,training
000629,Folk,training
000631,Folk,training
000633,Rock,training
000635,Rock,training
000664,Electronic,training
000665,Electronic,training
000666,International,training
000667,International,training
000668,Hip-Hop,training
000669,Hip-Hop,training
000672,Hip-Hop,training
000673,Hip-Hop,training
000674,Hip-Hop,training
000676,Hip-Hop,training
000677,Hip-Hop,training
000679,Hip-Hop,training
000680,Hip-Hop,training
000681,Hip-Hop,training
000684,Hip-Hop,training
000686,Hip-Hop,training
000690,Rock,validation
000694,Hip-Hop,training
000695,Hip-Hop,training
000696,Rock,training
000698,Rock,training
000701,Rock,training
000702,Rock,training
000703,Rock,training
000704,International,test
000705,International,test
000706,International,test
000707,International,test
000708,International,test
000709,International,test
000714,Folk,training
000715,Folk,training
000716,Folk,training
000717,Folk,training
000718,Folk,training
000720,Rock,training
000734,Soul-RnB,test
000735,Soul-RnB,test
000736,Soul-RnB,test
000737,Soul-RnB,test
000738,Soul-RnB,test
000739,Soul-RnB,test
000740,Soul-RnB,test
000741,Soul-RnB,test
000742,Soul-RnB,test
000743,Soul-RnB,test
000744,Soul-RnB,test
000745,Soul-RnB,test
000747,Soul-RnB,test
000748,Soul-RnB,test
000749,Soul-RnB,test
000750,Soul-RnB,test
000751,Soul-RnB,test
000752,Soul-RnB,test
000753,Soul-RnB,test
000754,Soul-RnB,test
000755,Soul-RnB,test
000756,Soul-RnB,test
000757,Soul-RnB,test
000758,Soul-RnB,test
000759,Soul-RnB,test
000760,Soul-RnB,test
000761,Soul-RnB,test
000762,Soul-RnB,test
000763,Soul-RnB,test
000764,Soul-RnB,test
000765,Soul-RnB,test
000766,Soul-RnB,test
000767,Soul-RnB,test
000768,Soul-RnB,test
000769,Soul-RnB,test
000770,Soul-RnB,test
000771,Soul-RnB,test
000772,Soul-RnB,test
000773,Soul-RnB,test
000774,Soul-RnB,test
000775,Soul-RnB,test
000776,Soul-RnB,test
000777,Rock,training
000814,Folk,training
000819,Experimental,training
000820,Experimental,training
000821,Pop,training
000822,Pop,training
000823,Pop,training
000824,Rock,training
000825,Rock,training
000826,Rock,training
000829,Rock,training
000830,Rock,training
000831,Jazz,training
000832,Jazz,training
000833,Jazz,training
000834,Jazz,training
000835,Jazz,training
000853,International,training
000854,Experimental,test
000855,Rock,training
000858,Rock,training
000861,Rock,training
000863,Rock,training
000868,Experimental,training
000878,Electronic,training
000881,Electronic,training
000889,Electronic,training
000890,Folk,test
000891,Folk,test
000892,Folk,test
000893,Folk,test
000894,Folk,test
000895,Folk,test
000896,Rock,training
000897,Experimental,training
000898,Experimental,training
000992,Rock,training
000993,Rock,validation
000995,Experimental,training
000997,Experimental,training
000998,Experimental,training
001014,Rock,validation
001015,Rock,validation
001016,Rock,validation
001017,Rock,validation
001018,Rock,validation
001022,Jazz,training
001023,Jazz,training
001028,Rock,training
001029,Rock,training
001039,Rock,training
001040,Rock,training
001041,Rock,training
001042,Blues,test
001043,Blues,test
001044,Blues,test
001045,Blues,test
001046,Blues,test
001047,Blues,test
001048,Blues,test
001052,Rock,training
001058,Jazz,training
001059,Jazz,training
001060,Jazz,training
001061,Jazz,training
001063,Jazz,training
001064,Jazz,training
001066,Experimental,test
001068,Experimental,test
001069,Experimental,test
001071,Experimental,test
001072,Experimental,test
001073,Experimental,test
001075,Experimental,test
001082,International,training
001083,Experimental,training
001085,Electronic,validation
001086,Electronic,validation
001087,Rock,validation
001088,Electronic,validation
001089,Electronic,validation
001093,Experimental,training
001095,Experimental,training
