track_id,track_genre_top,set_split
064556,Folk,training
075310,Pop,training
129039,Instrumental,training
114390,Electronic,training
137561,Experimental,training
143319,Rock,training
001688,International,training
049849,Folk,training
144809,Experimental,training
054155,Instrumental,training
011921,Hip-Hop,training
122356,Folk,training
108314,Experimental,training
149185,Electronic,training
096731,Folk,training
139937,Electronic,training
083612,Instrumental,training
083439,Folk,training
129922,International,training
148584,Pop,training
071695,Hip-Hop,training
017605,International,training
129624,Experimental,training
069203,Electronic,training
014386,Hip-Hop,training
139992,Electronic,training
126666,Rock,training
071246,Hip-Hop,training
064523,Hip-Hop,training
116487,Instrumental,training
110437,Folk,training
119726,Folk,training
001040,Rock,training
119134,Experimental,training
121661,Instrumental,training
126507,Experimental,training
063471,Rock,training
090570,Pop,training
124482,Pop,training
054480,International,training
042146,Experimental,training
134949,International,training
114415,Rock,training
131323,Instrumental,training
019415,Pop,training
054159,Instrumental,training
119578,Experimental,training
073343,Electronic,training
084055,Experimental,training
145199,Rock,training
120778,Instrumental,training
107588,Folk,training
052945,Folk,training
146017,Instrumental,training
019420,Pop,training
086485,Instrumental,training
129040,Instrumental,training
099501,Hip-Hop,training
007528,Pop,training
126276,Instrumental,training
075925,Hip-Hop,training
092130,Pop,training
092551,Electronic,training
148075,International,training
128710,Rock,training
141166,Hip-Hop,training
020296,Experimental,training
006442,Hip-Hop,training
064995,Hip-Hop,training
086799,Rock,training
148513,Pop,training
130369,Pop,training
014602,International,training
122959,Experimental,training
116706,Folk,training
138413,Folk,training
126455,Folk,training
047707,Experimental,training
100544,Electronic,training
088871,Folk,training
126600,Experimental,training
000890,Folk,training
005171,Folk,training
056804,Electronic,training
061820,Rock,training
052642,Electronic,training
052645,Electronic,training
070772,Hip-Hop,training
142402,Rock,training
069555,Hip-Hop,training
110448,International,training
085598,Pop,training
146689,Hip-Hop,training
024429,Hip-Hop,training
055288,Pop,training
036560,Pop,training
091087,Electronic,training
138256,Experimental,training
111228,Instrumental,training
053589,Folk,training
054621,Rock,training
111397,Pop,training
052648,Electronic,training
058213,Hip-Hop,training
088860,Folk,training
068896,Electronic,training
107126,Electronic,training
140316,Experimental,training
125722,Pop,training
000716,Folk,training
131903,Folk,training
100480,Hip-Hop,training
127278,Pop,training
068851,Folk,training
097848,Electronic,training
084768,Instrumental,training
123486,Instrumental,training
114385,Electronic,training
004092,International,training
090826,Pop,training
076036,Experimental,training
131553,Rock,training
124461,Rock,training
048465,Electronic,training
065683,Folk,training
111402,Pop,training
078213,Folk,training
091900,Experimental,training
078848,Hip-Hop,training
131021,Hip-Hop,training
122475,Pop,training
131919,Instrumental,training
004507,International,training
135338,Pop,training
134795,Instrumental,training
032081,Rock,training
130689,Rock,training
146713,Hip-Hop,training
095189,Experimental,training
005159,Folk,training
132171,Rock,training
133572,Instrumental,training
083613,Instrumental,training
114409,Rock,training
038312,Experimental,training
110736,Hip-Hop,training
123899,Folk,training
126522,Experimental,training
096560,Rock,training
085596,Pop,training
085347,Electronic,training
127663,Instrumental,training
112780,Experimental,training
131325,Instrumental,training
044347,Experimental,training
127339,Rock,training
062186,International,training
072072,Electronic,training
145707,Pop,training
135375,Rock,training
117668,International,training
026307,Experimental,training
026653,Electronic,training
075788,Rock,training
110649,Instrumental,training
123504,Electronic,training
078852,Hip-Hop,training
123333,Experimental,training
042119,Experimental,training
087188,Pop,training
148120,Instrumental,training
023039,Pop,training
011334,Experimental,training
095724,Instrumental,training
029040,Electronic,training
123501,Electronic,training
020704,Pop,training
146961,Folk,training
097894,Rock,training
098701,Rock,training
040659,Instrumental,training
045520,Folk,training
144938,Pop,training
141295,Instrumental,training
106342,Folk,training
071822,Electronic,training
065064,Electronic,training
012179,Pop,training
038824,International,training
073521,Rock,training
122353,Folk,training
144740,Hip-Hop,training
099373,International,training
056275,Pop,training
122004,Experimental,training
085837,Electronic,training
099436,Rock,training
080765,International,training
042020,International,training
120322,Instrumental,training
116489,Instrumental,training
109497,Rock,training
085592,Pop,training
122804,Pop,training
001102,Rock,training
108429,Pop,training
134580,Instrumental,training
122143,Experimental,training
128759,Electronic,training
089816,Electronic,training
038886,Experimental,training
054237,Pop,training
107908,Electronic,training
087101,Instrumental,training
085039,Electronic,training
010806,Pop,training
134790,Instrumental,training
108866,International,training
073561,Electronic,training
114074,Instrumental,training
064594,Experimental,training
026020,Hip-Hop,training
122936,Folk,training
098580,Hip-Hop,training
129926,International,training
013748,Hip-Hop,training
012346,Experimental,training
111974,Rock,training
017496,Hip-Hop,training
036099,Electronic,training
126105,Pop,training
014581,Instrumental,training
056798,Electronic,training
092282,Electronic,training
054874,Electronic,training
126550,Experimental,training
117991,Experimental,training
045941,Experimental,training
097845,Electronic,training
110110,Electronic,training
105917,Folk,training
042139,Experimental,training
024899,Experimental,training
042046,Hip-Hop,training
025028,International,training
119571,Rock,training
059660,International,training
063044,Rock,training
001482,Electronic,training
027981,International,training
118972,Experimental,training
130931,Instrumental,training
071709,Pop,training
008363,Experimental,training
134389,Pop,training
084158,Folk,training
128476,Pop,training
123278,Rock,training
081945,Folk,training
040851,Electronic,training
011772,Hip-Hop,training
088899,Rock,training
014737,Rock,training
109958,Pop,training
081193,Electronic,training
017500,Hip-Hop,training
040683,Electronic,training
073335,Electronic,training
100973,Electronic,training
096738,International,training
089991,Experimental,training
059823,Experimental,training
113282,International,training
115948,Folk,training
114558,Electronic,training
061742,Pop,training
074370,Experimental,training
069791,Experimental,training
014740,Rock,training
134385,Pop,training
141619,Electronic,training
091184,International,training
004068,Folk,training
022091,Hip-Hop,training
114544,Electronic,training
089192,Hip-Hop,training
108495,Hip-Hop,training
113574,Rock,training
135342,Pop,training
132790,Pop,training
012521,Rock,training
114397,Rock,training
135221,International,training
093727,Electronic,training
024369,International,training
063224,Pop,training
092561,Electronic,training
141591,International,training
129374,Pop,training
112490,Electronic,training
153383,Pop,training
150064,Folk,training
084154,Folk,training
062671,Electronic,training
073587,Folk,training
138021,Instrumental,training
111393,Pop,training
011787,Hip-Hop,training
086037,Instrumental,training
115891,Instrumental,training
108497,Hip-Hop,training
083600,Instrumental,training
058166,Pop,training
142530,Folk,training
024701,International,training
126409,Instrumental,training
069768,Folk,training
117473,Pop,training
068536,Experimental,training
087159,Electronic,training
113166,Rock,training
048808,Folk,training
009476,Experimental,training
012146,Pop,training
109972,Pop,training
138355,Rock,training
059676,International,training
076129,Pop,training
003762,Rock,training
133438,Instrumental,training
071157,Hip-Hop,training
066649,Pop,training
037119,Instrumental,training
073566,Folk,training
010983,Experimental,training
104065,Pop,training
125238,Experimental,training
128500,Folk,training
115813,Electronic,training
043516,International,training
131984,Instrumental,training
109902,Folk,training
040243,Folk,training
142418,Rock,training
053862,Electronic,training
062534,International,training
126747,Folk,training
132675,Instrumental,training
129404,International,training
081195,Electronic,training
129925,International,training
087103,Instrumental,training
025233,International,training
116101,Instrumental,training
060549,International,training
105683,Hip-Hop,training
029037,Electronic,training
044806,Pop,training
080341,International,training
131923,Instrumental,training
097043,Hip-Hop,training
089441,Folk,training
146482,Rock,training
014577,Instrumental,training
126318,Instrumental,training
027549,Pop,training
131904,Folk,training
125612,Instrumental,training
014208,Electronic,training
029745,Experimental,training
110634,Rock,training
145258,Rock,training
142079,Electronic,training
075380,Hip-Hop,training
105141,Rock,training
110623,Experimental,training
106522,Experimental,training
036277,International,training
091185,International,training
139117,Rock,training
074671,Rock,training
142537,International,training
108957,Rock,training
004450,Folk,training
058170,Pop,training
003533,Pop,training
072513,Rock,training
069222,Electronic,training
109072,Experimental,training
024422,Hip-Hop,training
038776,International,training
026301,Experimental,training
132589,Experimental,training
142533,International,training
147021,Hip-Hop,training
118953,Instrumental,training
070174,Experimental,training
126014,Instrumental,training
049843,Folk,training
047660,Electronic,training
141141,Instrumental,training
133293,Experimental,training
070303,Electronic,training
145555,Folk,training
061010,Folk,training
094631,Pop,training
010389,Folk,training
087160,Electronic,training
127277,Pop,training
007383,Experimental,training
144941,Pop,training
091894,Experimental,training
144468,Folk,training
149139,Instrumental,training
014576,Instrumental,training
121317,Hip-Hop,training
107567,Folk,training
064008,Pop,training
000546,Folk,training
111389,Pop,training
111911,Rock,training
142671,Hip-Hop,training
116757,Instrumental,training
129091,Rock,training
003263,Folk,training
072607,Folk,training
084484,Electronic,training
030043,Hip-Hop,training
111793,Instrumental,training
130932,Instrumental,training
145702,Pop,training
137907,Folk,training
073170,Folk,training
030058,Hip-Hop,training
126778,Folk,training
052631,Electronic,training
127180,Pop,training
110384,Folk,training
122621,Instrumental,training
073344,Electronic,training
137632,Rock,training
039488,Folk,training
017573,Experimental,training
122648,Instrumental,training
011779,Hip-Hop,training
145748,Hip-Hop,training
126183,Instrumental,training
087068,Electronic,training
029043,Electronic,training
077571,Hip-Hop,training
069001,Experimental,training
021085,Electronic,training
121473,Instrumental,training
038827,International,training
117967,Experimental,training
085027,Rock,training
011784,Hip-Hop,training
121664,Instrumental,training
097547,Electronic,training
068356,Pop,training
104278,Electronic,training
038894,Experimental,training
113020,Pop,training
061587,Pop,training
058207,Hip-Hop,training
038826,International,training
111227,Instrumental,training
038823,International,training
065076,International,training
019441,Pop,training
039667,Pop,training
027803,Experimental,training
010387,Folk,training
126018,Instrumental,training
030050,Hip-Hop,training
137624,Rock,training
125193,Folk,training
063291,Instrumental,training
148074,International,training
064988,Hip-Hop,training
111378,Pop,training
098297,Rock,training
121453,Electronic,training
129395,International,training
057820,Hip-Hop,training
052500,Folk,training
067363,Pop,training
118195,Experimental,training
130084,Rock,training
148246,Rock,training
133976,Instrumental,training
148190,Folk,training
063456,Folk,training
133274,Rock,training
145917,Electronic,training
031043,Electronic,training
121318,Hip-Hop,training
091318,Hip-Hop,training
042475,Rock,training
135368,Rock,training
108025,Instrumental,training
139990,Electronic,training
054623,Rock,training
011777,Hip-Hop,training
132793,Pop,training
096726,Folk,training
038362,Folk,training
026859,Electronic,training
111386,Pop,training
